state,city,region_id,region_name,school_count,program_count,avg_student_size,avg_in_state_tuition,avg_out_of_state_tuition,avg_cost_of_attendance,avg_net_price
AK,Anchorage,8,Far West,4,112,4923.19,11468.19,21054.37,25449.51,16534.78
AK,Barrow,8,Far West,1,19,175.0,5260.0,5260.0,9740.0,5542.0
AK,Fairbanks,8,Far West,1,109,4027.0,8640.0,22752.0,21182.0,9634.0
AK,Juneau,8,Far West,1,54,920.0,6960.0,21096.0,16796.0,7233.0
AK,Palmer,8,Far West,1,1,34.0,10930.0,10930.0,22101.0,14093.0
AK,Seward,8,Far West,1,12,452.0,,,,12071.0
AK,Soldotna,8,Far West,1,4,60.0,9014.0,9014.0,22858.0,5427.0
AL,Albertville,5,Southeast,1,1,39.0,,,,13055.0
AL,Alexander City,5,Southeast,1,14,1134.0,5040.0,8850.0,19815.0,14346.0
AL,Andalusia,5,Southeast,1,15,1122.0,4980.0,8790.0,10223.0,3041.0
AL,Athens,5,Southeast,1,33,2407.0,,,,
AL,Auburn,5,Southeast,1,106,25732.0,12536.0,33944.0,34402.0,23897.0
AL,Bay Minette,5,Southeast,1,26,4714.0,4980.0,8790.0,15171.0,9514.0
AL,Bessemer,5,Southeast,1,1,54.0,,,,19971.0
AL,Birmingham,5,Southeast,8,160,6344.08,17144.13,22711.59,32661.26,20365.3
AL,Boaz,5,Southeast,1,12,1494.0,5472.0,9536.0,12583.0,6369.0
AL,Daphne,5,Southeast,1,3,136.0,18900.0,18900.0,,
AL,Deatsville,5,Southeast,1,14,826.0,6084.0,6084.0,,
AL,Dothan,5,Southeast,3,22,2877.3,4920.0,8730.0,9863.0,3704.76
AL,Enterprise,5,Southeast,1,12,1476.0,5040.0,8850.0,14798.0,8187.0
AL,Evergreen,5,Southeast,1,10,365.0,6100.0,10700.0,9066.0,131.0
AL,Fairfield,5,Southeast,1,22,1151.0,12714.0,12714.0,22900.0,14514.0
AL,Florence,5,Southeast,2,57,5227.78,11989.64,21736.31,22086.0,11024.0
AL,Gadsden,5,Southeast,1,27,3619.0,4032.0,7080.0,10687.0,3568.0
AL,Hanceville,5,Southeast,1,34,4413.0,4980.0,8790.0,18748.0,14042.0
AL,Hoover,5,Southeast,2,1,119.0,,,,13205.0
AL,Huntsville,5,Southeast,6,100,3949.22,13059.3,20551.66,27496.6,18327.45
AL,Jackson,5,Southeast,1,1,102.0,,,,18819.0
AL,Jacksonville,5,Southeast,1,47,7030.0,12426.0,22716.0,23422.0,14850.0
AL,Jasper,5,Southeast,1,19,2189.0,4678.0,8234.0,15238.0,5249.0
AL,Livingston,5,Southeast,1,35,2666.0,10990.0,20090.0,22402.0,13832.0
AL,Madison,5,Southeast,1,1,102.0,,,,23830.0
AL,Marion,5,Southeast,1,1,308.0,9538.0,15538.0,18458.0,10137.0
